# S1,S2,S3,S4,Weight
1.600000000000000000e+01,1.700000000000000000e+01,3.100000000000000000e+01,5.900000000000000000e+01,6.569163549247175604e-01
1.600000000000000000e+01,3.000000000000000000e+01,3.100000000000000000e+01,7.200000000000000000e+01,7.529201327909672559e-01
1.600000000000000000e+01,3.100000000000000000e+01,5.900000000000000000e+01,7.200000000000000000e+01,6.998309025936895189e-01
1.700000000000000000e+01,1.800000000000000000e+01,3.100000000000000000e+01,5.900000000000000000e+01,3.417182911900585318e-01
1.800000000000000000e+01,3.100000000000000000e+01,3.200000000000000000e+01,7.400000000000000000e+01,-1.741397834296508906e-01
3.100000000000000000e+01,5.900000000000000000e+01,7.300000000000000000e+01,7.400000000000000000e+01,1.279372117079852211e-01
1.800000000000000000e+01,5.900000000000000000e+01,6.000000000000000000e+01,7.400000000000000000e+01,-7.702636320494422872e-02
1.800000000000000000e+01,3.100000000000000000e+01,5.900000000000000000e+01,7.400000000000000000e+01,6.907929564791705224e-02
1.800000000000000000e+01,6.000000000000000000e+01,6.100000000000000000e+01,7.400000000000000000e+01,-4.375277881466126395e-01
3.300000000000000000e+01,6.100000000000000000e+01,7.400000000000000000e+01,7.500000000000000000e+01,-8.147542640396492342e-01
1.800000000000000000e+01,1.900000000000000000e+01,3.300000000000000000e+01,6.100000000000000000e+01,-7.123707036733674114e-01
1.800000000000000000e+01,3.200000000000000000e+01,3.300000000000000000e+01,7.400000000000000000e+01,-5.148201716564168029e-01
1.800000000000000000e+01,3.300000000000000000e+01,6.100000000000000000e+01,7.400000000000000000e+01,-6.242445462312156135e-01
1.900000000000000000e+01,2.000000000000000000e+01,3.300000000000000000e+01,6.100000000000000000e+01,-9.247750151321648682e-01
2.000000000000000000e+01,3.300000000000000000e+01,3.400000000000000000e+01,7.600000000000000000e+01,-9.949946980158765886e-01
3.300000000000000000e+01,6.100000000000000000e+01,7.500000000000000000e+01,7.600000000000000000e+01,-9.702034098656732164e-01
2.000000000000000000e+01,6.100000000000000000e+01,6.200000000000000000e+01,7.600000000000000000e+01,-9.994510786023323989e-01
2.000000000000000000e+01,3.300000000000000000e+01,6.100000000000000000e+01,7.600000000000000000e+01,-9.910113990982624133e-01
2.000000000000000000e+01,6.200000000000000000e+01,6.300000000000000000e+01,7.600000000000000000e+01,-9.123493655246016631e-01
3.500000000000000000e+01,6.300000000000000000e+01,7.600000000000000000e+01,7.700000000000000000e+01,-6.229289321713922245e-01
2.000000000000000000e+01,2.100000000000000000e+01,3.500000000000000000e+01,6.300000000000000000e+01,-7.087555782404149074e-01
2.000000000000000000e+01,3.400000000000000000e+01,3.500000000000000000e+01,7.600000000000000000e+01,-8.852507661210228251e-01
2.000000000000000000e+01,3.500000000000000000e+01,6.300000000000000000e+01,7.600000000000000000e+01,-8.025456459380967411e-01
2.100000000000000000e+01,2.200000000000000000e+01,3.500000000000000000e+01,6.300000000000000000e+01,-3.840812665008397908e-01
2.200000000000000000e+01,3.500000000000000000e+01,3.600000000000000000e+01,7.800000000000000000e+01,7.598661638009694685e-02
3.500000000000000000e+01,6.300000000000000000e+01,7.700000000000000000e+01,7.800000000000000000e+01,-2.826153962601189451e-01
2.200000000000000000e+01,6.300000000000000000e+01,6.400000000000000000e+01,7.800000000000000000e+01,2.553603494579086489e-02
2.200000000000000000e+01,3.500000000000000000e+01,6.300000000000000000e+01,7.800000000000000000e+01,-1.507248124871639339e-01
2.200000000000000000e+01,6.400000000000000000e+01,6.500000000000000000e+01,7.800000000000000000e+01,4.068956891834142886e-01
3.700000000000000000e+01,6.500000000000000000e+01,7.800000000000000000e+01,7.900000000000000000e+01,7.711290328295566932e-01
2.200000000000000000e+01,2.300000000000000000e+01,3.700000000000000000e+01,6.500000000000000000e+01,7.108530811750145562e-01
2.200000000000000000e+01,3.600000000000000000e+01,3.700000000000000000e+01,7.800000000000000000e+01,4.498786922506992081e-01
2.200000000000000000e+01,3.700000000000000000e+01,6.500000000000000000e+01,7.800000000000000000e+01,5.919380320070289914e-01
2.300000000000000000e+01,2.400000000000000000e+01,3.700000000000000000e+01,6.500000000000000000e+01,9.271578397460426002e-01
2.400000000000000000e+01,3.700000000000000000e+01,3.800000000000000000e+01,8.000000000000000000e+01,9.973230385007542109e-01
3.700000000000000000e+01,6.500000000000000000e+01,7.900000000000000000e+01,8.000000000000000000e+01,9.556754326535010780e-01
2.400000000000000000e+01,6.500000000000000000e+01,6.600000000000000000e+01,8.000000000000000000e+01,9.994648785122298706e-01
2.400000000000000000e+01,3.700000000000000000e+01,6.500000000000000000e+01,8.000000000000000000e+01,9.888549774364409073e-01
2.400000000000000000e+01,6.600000000000000000e+01,6.700000000000000000e+01,8.000000000000000000e+01,9.095775415271070141e-01
3.900000000000000000e+01,6.700000000000000000e+01,8.000000000000000000e+01,8.100000000000000000e+01,6.372585864172797265e-01
2.400000000000000000e+01,2.500000000000000000e+01,3.900000000000000000e+01,6.700000000000000000e+01,6.921934864921442943e-01
2.400000000000000000e+01,3.800000000000000000e+01,3.900000000000000000e+01,8.000000000000000000e+01,8.928887184572587010e-01
2.400000000000000000e+01,3.900000000000000000e+01,6.700000000000000000e+01,8.000000000000000000e+01,8.016640158873165056e-01
2.500000000000000000e+01,2.600000000000000000e+01,3.900000000000000000e+01,6.700000000000000000e+01,3.589889984860012984e-01
2.600000000000000000e+01,3.900000000000000000e+01,4.000000000000000000e+01,8.200000000000000000e+01,-8.092117346467903038e-02
3.900000000000000000e+01,6.700000000000000000e+01,8.100000000000000000e+01,8.200000000000000000e+01,2.924606609678733204e-01
2.600000000000000000e+01,6.700000000000000000e+01,6.800000000000000000e+01,8.200000000000000000e+01,-4.726860827076186100e-02
2.600000000000000000e+01,3.900000000000000000e+01,6.700000000000000000e+01,8.200000000000000000e+01,1.377887762851122966e-01
2.600000000000000000e+01,6.800000000000000000e+01,6.900000000000000000e+01,8.200000000000000000e+01,-4.298854234667259244e-01
4.100000000000000000e+01,6.900000000000000000e+01,8.200000000000000000e+01,8.300000000000000000e+01,-7.760135588087891945e-01
2.600000000000000000e+01,2.700000000000000000e+01,4.100000000000000000e+01,6.900000000000000000e+01,-7.352772552454422961e-01
2.600000000000000000e+01,4.000000000000000000e+01,4.100000000000000000e+01,8.200000000000000000e+01,-4.588825244033547524e-01
2.600000000000000000e+01,4.100000000000000000e+01,6.900000000000000000e+01,8.200000000000000000e+01,-6.090835630961504155e-01
4.200000000000000000e+01,8.400000000000000000e+01,8.500000000000000000e+01,9.800000000000000000e+01,9.898625330819047496e-01
5.700000000000000000e+01,8.500000000000000000e+01,9.800000000000000000e+01,9.900000000000000000e+01,9.978046670976938870e-01
4.200000000000000000e+01,4.300000000000000000e+01,5.700000000000000000e+01,8.500000000000000000e+01,9.258262666991546874e-01
4.200000000000000000e+01,5.600000000000000000e+01,5.700000000000000000e+01,9.800000000000000000e+01,9.258262666991546874e-01
4.200000000000000000e+01,5.700000000000000000e+01,8.500000000000000000e+01,9.800000000000000000e+01,9.703440150142714771e-01
4.300000000000000000e+01,4.400000000000000000e+01,5.700000000000000000e+01,8.500000000000000000e+01,9.898625330819047496e-01
4.400000000000000000e+01,5.700000000000000000e+01,5.800000000000000000e+01,1.000000000000000000e+02,9.685923677734661341e-01
5.700000000000000000e+01,8.500000000000000000e+01,9.900000000000000000e+01,1.000000000000000000e+02,9.685923677734660231e-01
4.400000000000000000e+01,8.500000000000000000e+01,8.600000000000000000e+01,1.000000000000000000e+02,9.134235880824577158e-01
4.400000000000000000e+01,5.700000000000000000e+01,8.500000000000000000e+01,1.000000000000000000e+02,9.851135115328454317e-01
4.400000000000000000e+01,8.600000000000000000e+01,8.700000000000000000e+01,1.000000000000000000e+02,7.529201327909672559e-01
5.900000000000000000e+01,8.700000000000000000e+01,1.000000000000000000e+02,1.010000000000000000e+02,4.491153976661860225e-01
4.400000000000000000e+01,4.500000000000000000e+01,5.900000000000000000e+01,8.700000000000000000e+01,6.569163549247175604e-01
4.400000000000000000e+01,5.800000000000000000e+01,5.900000000000000000e+01,1.000000000000000000e+02,8.397548672758184951e-01
4.400000000000000000e+01,5.900000000000000000e+01,8.700000000000000000e+01,1.000000000000000000e+02,6.998309025936895189e-01
4.500000000000000000e+01,4.600000000000000000e+01,5.900000000000000000e+01,8.700000000000000000e+01,3.417182911900585318e-01
4.600000000000000000e+01,5.900000000000000000e+01,6.000000000000000000e+01,1.020000000000000000e+02,-7.702636320494422872e-02
5.900000000000000000e+01,8.700000000000000000e+01,1.010000000000000000e+02,1.020000000000000000e+02,1.279372117079852211e-01
4.600000000000000000e+01,8.700000000000000000e+01,8.800000000000000000e+01,1.020000000000000000e+02,-1.741397834296508906e-01
4.600000000000000000e+01,5.900000000000000000e+01,8.700000000000000000e+01,1.020000000000000000e+02,6.907929564791705224e-02
4.600000000000000000e+01,8.800000000000000000e+01,8.900000000000000000e+01,1.020000000000000000e+02,-5.148201716564168029e-01
6.100000000000000000e+01,8.900000000000000000e+01,1.020000000000000000e+02,1.030000000000000000e+02,-8.147542640396492342e-01
4.600000000000000000e+01,4.700000000000000000e+01,6.100000000000000000e+01,8.900000000000000000e+01,-7.123707036733674114e-01
4.600000000000000000e+01,6.000000000000000000e+01,6.100000000000000000e+01,1.020000000000000000e+02,-4.375277881466126395e-01
4.600000000000000000e+01,6.100000000000000000e+01,8.900000000000000000e+01,1.020000000000000000e+02,-6.242445462312156135e-01
4.700000000000000000e+01,4.800000000000000000e+01,6.100000000000000000e+01,8.900000000000000000e+01,-9.247750151321648682e-01
4.800000000000000000e+01,6.100000000000000000e+01,6.200000000000000000e+01,1.040000000000000000e+02,-9.994510786023323989e-01
6.100000000000000000e+01,8.900000000000000000e+01,1.030000000000000000e+02,1.040000000000000000e+02,-9.702034098656732164e-01
4.800000000000000000e+01,8.900000000000000000e+01,9.000000000000000000e+01,1.040000000000000000e+02,-9.949946980158765886e-01
4.800000000000000000e+01,6.100000000000000000e+01,8.900000000000000000e+01,1.040000000000000000e+02,-9.910113990982624133e-01
4.800000000000000000e+01,9.000000000000000000e+01,9.100000000000000000e+01,1.040000000000000000e+02,-8.852507661210228251e-01
6.300000000000000000e+01,9.100000000000000000e+01,1.040000000000000000e+02,1.050000000000000000e+02,-6.229289321713922245e-01
4.800000000000000000e+01,4.900000000000000000e+01,6.300000000000000000e+01,9.100000000000000000e+01,-7.087555782404149074e-01
4.800000000000000000e+01,6.200000000000000000e+01,6.300000000000000000e+01,1.040000000000000000e+02,-9.123493655246016631e-01
4.800000000000000000e+01,6.300000000000000000e+01,9.100000000000000000e+01,1.040000000000000000e+02,-8.025456459380967411e-01
4.900000000000000000e+01,5.000000000000000000e+01,6.300000000000000000e+01,9.100000000000000000e+01,-3.840812665008397908e-01
5.000000000000000000e+01,6.300000000000000000e+01,6.400000000000000000e+01,1.060000000000000000e+02,2.553603494579086489e-02
