S1,S2,S3,Weight
127,128,164,1000
127,163,164,1000
163,164,200,1000
163,199,200,1000
199,200,236,1000
199,235,236,1000
235,236,272,1000
235,271,272,1000
271,272,308,1000
271,307,308,1000
307,308,344,1000
307,343,344,1000
343,344,380,1000
343,379,380,1000
379,380,416,1000
379,415,416,1000
415,416,452,1000
415,451,452,1000
451,452,488,1000
451,487,488,1000
487,488,524,1000
487,523,524,1000
523,524,560,1000
523,559,560,1000
559,560,596,1000
559,595,596,1000
595,596,632,1000
595,631,632,1000
631,632,668,1000
631,667,668,0
667,668,704,1000
667,703,704,1000
703,704,740,1000
703,739,740,1000
739,740,776,1000
739,775,776,1000
775,776,812,1000
775,811,812,1000
811,812,848,1000
811,847,848,1000
847,848,884,1000
847,883,884,1000
883,884,920,1000
883,919,920,1000
919,920,956,1000
919,955,956,1000
955,956,992,1000
955,991,992,1000
991,992,1028,1000
991,1027,1028,1000
1027,1028,1064,1000
1027,1063,1064,1000
1063,1064,1100,1000
1063,1099,1100,1000
1099,1100,1136,1000
1099,1135,1136,1000
1135,1136,1172,1000
1135,1171,1172,1000
1171,1172,1208,1000
1171,1207,1208,1000
1207,1208,1244,1000
1207,1243,1244,1000
1243,1244,1280,1000
1243,1279,1280,1000
20,21,56,1000
21,56,57,1000
56,57,92,1000
57,92,93,1000
92,93,128,1000
93,128,129,1000
128,129,164,1000
129,164,165,1000
164,165,200,1000
165,200,201,1000
200,201,236,1000
201,236,237,1000
236,237,272,1000
237,272,273,1000
272,273,308,1000
273,308,309,1000
308,309,344,1000
309,344,345,1000
344,345,380,1000
345,380,381,1000
380,381,416,1000
381,416,417,1000
416,417,452,1000
417,452,453,1000
452,453,488,1000
453,488,489,1000
488,489,524,1000
489,524,525,1000
524,525,560,1000
525,560,561,1000
560,561,596,1000
561,596,597,1000
596,597,632,1000
597,632,633,1000
632,633,668,1000
633,668,669,1000
668,669,704,1000
669,704,705,1000
704,705,740,1000
705,740,741,1000
740,741,776,1000
741,776,777,1000
776,777,812,1000
777,812,813,1000
812,813,848,1000
813,848,849,1000
848,849,884,1000
849,884,885,1000
884,885,920,1000
885,920,921,1000
920,921,956,1000
921,956,957,1000
956,957,992,1000
957,992,993,1000
992,993,1028,1000
993,1028,1029,1000
